Sprite Capture Summary
======================
Frame: 30
OBSEL: $00 (base=0, select=0, size=0)
VRAM read mode: word
Visible sprites: 128

OAM #101: pos=(0,224) tile=$00 size=8x8 pal=0
OAM #102: pos=(0,224) tile=$00 size=8x8 pal=0
OAM #103: pos=(0,224) tile=$00 size=8x8 pal=0
OAM #104: pos=(0,224) tile=$00 size=8x8 pal=0
OAM #105: pos=(0,224) tile=$00 size=8x8 pal=0
OAM #106: pos=(0,224) tile=$00 size=8x8 pal=0
OAM #107: pos=(0,224) tile=$00 size=8x8 pal=0
OAM #108: pos=(0,224) tile=$00 size=8x8 pal=0
OAM #109: pos=(0,224) tile=$00 size=8x8 pal=0
OAM #110: pos=(0,224) tile=$00 size=8x8 pal=0
OAM #111: pos=(0,224) tile=$00 size=8x8 pal=0
OAM #112: pos=(0,224) tile=$00 size=8x8 pal=0
OAM #113: pos=(0,224) tile=$00 size=8x8 pal=0
OAM #114: pos=(0,224) tile=$00 size=8x8 pal=0
OAM #115: pos=(0,224) tile=$00 size=8x8 pal=0
OAM #116: pos=(0,224) tile=$00 size=8x8 pal=0
OAM #117: pos=(0,224) tile=$00 size=8x8 pal=0
OAM #118: pos=(0,224) tile=$00 size=8x8 pal=0
OAM #119: pos=(0,224) tile=$00 size=8x8 pal=0
OAM #120: pos=(0,224) tile=$00 size=8x8 pal=0
OAM #121: pos=(0,224) tile=$00 size=8x8 pal=0
OAM #122: pos=(0,224) tile=$00 size=8x8 pal=0
OAM #123: pos=(0,224) tile=$00 size=8x8 pal=0
OAM #124: pos=(0,224) tile=$00 size=8x8 pal=0
OAM #125: pos=(0,224) tile=$00 size=8x8 pal=0
OAM #126: pos=(0,224) tile=$00 size=8x8 pal=0
OAM #127: pos=(0,224) tile=$00 size=8x8 pal=0
