Sprite Capture Summary
======================
Frame: 700
OBSEL: $00 (base=0, select=0, size=0)
VRAM read mode: word
Visible sprites: 128

OAM #101: pos=(230,224) tile=$48 size=8x8 pal=0
OAM #102: pos=(98,224) tile=$83 size=8x8 pal=1
OAM #103: pos=(140,224) tile=$80 size=8x8 pal=1
OAM #104: pos=(66,224) tile=$20 size=8x8 pal=2
OAM #105: pos=(89,224) tile=$20 size=8x8 pal=2
OAM #106: pos=(18,224) tile=$06 size=8x8 pal=2
OAM #107: pos=(2,224) tile=$04 size=8x8 pal=2
OAM #108: pos=(57,224) tile=$0E size=8x8 pal=2
OAM #109: pos=(80,224) tile=$20 size=8x8 pal=2
OAM #110: pos=(102,224) tile=$20 size=8x8 pal=2
OAM #111: pos=(125,224) tile=$20 size=8x8 pal=2
OAM #112: pos=(138,224) tile=$20 size=8x8 pal=2
OAM #113: pos=(161,224) tile=$20 size=8x8 pal=2
OAM #114: pos=(0,224) tile=$00 size=8x8 pal=0
OAM #115: pos=(0,224) tile=$00 size=8x8 pal=0
OAM #116: pos=(0,224) tile=$00 size=8x8 pal=0
OAM #117: pos=(0,224) tile=$00 size=8x8 pal=0
OAM #118: pos=(0,224) tile=$00 size=8x8 pal=0
OAM #119: pos=(0,224) tile=$00 size=8x8 pal=0
OAM #120: pos=(0,224) tile=$00 size=8x8 pal=0
OAM #121: pos=(0,224) tile=$00 size=8x8 pal=0
OAM #122: pos=(0,224) tile=$00 size=8x8 pal=0
OAM #123: pos=(0,224) tile=$00 size=8x8 pal=0
OAM #124: pos=(0,224) tile=$00 size=8x8 pal=0
OAM #125: pos=(0,224) tile=$00 size=8x8 pal=0
OAM #126: pos=(0,224) tile=$00 size=8x8 pal=0
OAM #127: pos=(0,224) tile=$00 size=8x8 pal=0
