# Sprite offsets discovered using exhal validation
# Format: offset size tiles confidence

0x087400  # 31518 bytes, 984 tiles, score=0.940
0x079100  # 31514 bytes, 984 tiles, score=0.940
0x0C9A00  # 31447 bytes, 982 tiles, score=0.940
0x073700  # 24352 bytes, 761 tiles, score=0.936
0x08BC00  # 30879 bytes, 964 tiles, score=0.936
0x084F00  # 30850 bytes, 964 tiles, score=0.935
0x0CE600  # 30745 bytes, 960 tiles, score=0.935
0x07F100  # 30706 bytes, 959 tiles, score=0.934
0x073400  # 30543 bytes, 954 tiles, score=0.933
0x089D00  # 30361 bytes, 948 tiles, score=0.932
0x0E4400  # 30357 bytes, 948 tiles, score=0.932
0x0E4400  # 30357 bytes, 948 tiles, score=0.932
0x0DE900  # 30159 bytes, 942 tiles, score=0.930
0x0DE900  # 30159 bytes, 942 tiles, score=0.930
0x0E4800  # 29705 bytes, 928 tiles, score=0.927
0x0E4800  # 29705 bytes, 928 tiles, score=0.927
0x0E0600  # 43872 bytes, 1371 tiles, score=0.925
0x08BE00  # 39040 bytes, 1220 tiles, score=0.925
0x0E0600  # 43872 bytes, 1371 tiles, score=0.925
0x0CB400  # 46622 bytes, 1456 tiles, score=0.925
0x0E0100  # 56432 bytes, 1763 tiles, score=0.925
0x07B000  # 57941 bytes, 1810 tiles, score=0.925
0x0E0100  # 56432 bytes, 1763 tiles, score=0.925
0x08A000  # 29240 bytes, 913 tiles, score=0.923
0x087500  # 29211 bytes, 912 tiles, score=0.923
0x0D1100  # 28934 bytes, 904 tiles, score=0.921
0x079F00  # 28905 bytes, 903 tiles, score=0.921
0x0DBA00  # 28852 bytes, 901 tiles, score=0.920
0x0D9000  # 28757 bytes, 898 tiles, score=0.919
0x07A100  # 28337 bytes, 885 tiles, score=0.916
0x0CA800  # 28300 bytes, 884 tiles, score=0.916
0x07A000  # 28294 bytes, 884 tiles, score=0.916
0x08A100  # 27964 bytes, 873 tiles, score=0.913
0x0E7200  # 27855 bytes, 870 tiles, score=0.913
0x0E7200  # 27855 bytes, 870 tiles, score=0.913
0x073500  # 27257 bytes, 851 tiles, score=0.908
0x07F200  # 27152 bytes, 848 tiles, score=0.907
0x0C9E00  # 27141 bytes, 848 tiles, score=0.907
0x079E00  # 30279 bytes, 946 tiles, score=0.906
0x0DEA00  # 26545 bytes, 829 tiles, score=0.903
0x0DEA00  # 26545 bytes, 829 tiles, score=0.903
0x0E6E00  # 62207 bytes, 1943 tiles, score=0.900
0x08DE00  # 49317 bytes, 1541 tiles, score=0.900
0x0E6E00  # 62207 bytes, 1943 tiles, score=0.900
0x0CA900  # 25598 bytes, 799 tiles, score=0.895
0x0E8A00  # 25439 bytes, 794 tiles, score=0.894
0x0E8A00  # 25439 bytes, 794 tiles, score=0.894
0x087600  # 25389 bytes, 793 tiles, score=0.894
0x073600  # 24818 bytes, 775 tiles, score=0.889
0x08E600  # 24691 bytes, 771 tiles, score=0.888
0x0CDD00  # 24438 bytes, 763 tiles, score=0.886
0x0D7D00  # 24063 bytes, 751 tiles, score=0.884
0x088300  # 23638 bytes, 738 tiles, score=0.880
0x0D9100  # 23605 bytes, 737 tiles, score=0.880
0x073800  # 23556 bytes, 736 tiles, score=0.880
0x0C8D00  # 23354 bytes, 729 tiles, score=0.878
0x0CCD00  # 23107 bytes, 722 tiles, score=0.876
0x07F000  # 22996 bytes, 718 tiles, score=0.875
0x0E7100  # 42240 bytes, 1320 tiles, score=0.875
0x0E9500  # 48951 bytes, 1529 tiles, score=0.875
0x08DF00  # 41600 bytes, 1300 tiles, score=0.875
0x08E000  # 35872 bytes, 1121 tiles, score=0.875
0x0E7100  # 42240 bytes, 1320 tiles, score=0.875
0x0E9500  # 48951 bytes, 1529 tiles, score=0.875
0x08F200  # 22800 bytes, 712 tiles, score=0.874
0x07B900  # 22623 bytes, 706 tiles, score=0.873
0x0E4E00  # 22220 bytes, 694 tiles, score=0.870
0x0E4E00  # 22220 bytes, 694 tiles, score=0.870
0x0E3F00  # 21891 bytes, 684 tiles, score=0.867
0x0E3F00  # 21891 bytes, 684 tiles, score=0.867
0x0E3400  # 21889 bytes, 684 tiles, score=0.867
0x0E3400  # 21889 bytes, 684 tiles, score=0.867
0x085200  # 21661 bytes, 676 tiles, score=0.865
0x0CC600  # 21631 bytes, 675 tiles, score=0.865
0x08F100  # 27788 bytes, 868 tiles, score=0.862
0x0E3500  # 20971 bytes, 655 tiles, score=0.860
0x0E3500  # 20971 bytes, 655 tiles, score=0.860
0x073900  # 20505 bytes, 640 tiles, score=0.856
0x0E3600  # 20368 bytes, 636 tiles, score=0.855
0x0E3600  # 20368 bytes, 636 tiles, score=0.855
0x0DEE00  # 20323 bytes, 635 tiles, score=0.855
0x0DEE00  # 20323 bytes, 635 tiles, score=0.855
0x0E6600  # 19965 bytes, 623 tiles, score=0.852
0x0E6600  # 19965 bytes, 623 tiles, score=0.852
0x0DBF00  # 29536 bytes, 923 tiles, score=0.850
0x082C00  # 45365 bytes, 1417 tiles, score=0.850
0x082D00  # 45144 bytes, 1410 tiles, score=0.850
0x082E00  # 44927 bytes, 1403 tiles, score=0.850
0x082F00  # 44715 bytes, 1397 tiles, score=0.850
0x083000  # 44756 bytes, 1398 tiles, score=0.850
0x083100  # 44287 bytes, 1383 tiles, score=0.850
0x083200  # 44075 bytes, 1377 tiles, score=0.850
0x083300  # 44116 bytes, 1378 tiles, score=0.850
0x083400  # 43647 bytes, 1363 tiles, score=0.850
0x083500  # 43435 bytes, 1357 tiles, score=0.850
0x083600  # 43474 bytes, 1358 tiles, score=0.850
0x083700  # 43006 bytes, 1343 tiles, score=0.850
0x083800  # 42794 bytes, 1337 tiles, score=0.850
0x088500  # 43762 bytes, 1367 tiles, score=0.850
0x08C300  # 19607 bytes, 612 tiles, score=0.850
0x0C3200  # 19498 bytes, 609 tiles, score=0.849
0x073B00  # 19411 bytes, 606 tiles, score=0.848
0x0C9F00  # 19381 bytes, 605 tiles, score=0.848
0x0E4900  # 19300 bytes, 603 tiles, score=0.847
0x0E4900  # 19300 bytes, 603 tiles, score=0.847
0x089F00  # 32370 bytes, 1011 tiles, score=0.847
0x0CC700  # 18734 bytes, 585 tiles, score=0.843
0x073C00  # 18711 bytes, 584 tiles, score=0.843
0x0CDC00  # 28181 bytes, 880 tiles, score=0.840
0x0DA800  # 18296 bytes, 571 tiles, score=0.840
0x0E4000  # 18285 bytes, 571 tiles, score=0.840
0x0E4000  # 18285 bytes, 571 tiles, score=0.840
0x0CE000  # 18175 bytes, 567 tiles, score=0.839
0x084E00  # 31044 bytes, 970 tiles, score=0.837
0x0C5000  # 17580 bytes, 549 tiles, score=0.834
0x0E6B00  # 10880 bytes, 340 tiles, score=0.833
0x0E6B00  # 10880 bytes, 340 tiles, score=0.833
0x07BA00  # 17427 bytes, 544 tiles, score=0.833
0x0EAA00  # 17391 bytes, 543 tiles, score=0.833
0x0EAA00  # 17391 bytes, 543 tiles, score=0.833
0x085300  # 10688 bytes, 334 tiles, score=0.832
0x0D1200  # 23737 bytes, 741 tiles, score=0.831
0x0C0400  # 17182 bytes, 536 tiles, score=0.831
0x0DF000  # 17147 bytes, 535 tiles, score=0.831
0x0DF000  # 17147 bytes, 535 tiles, score=0.831
0x0DD300  # 17100 bytes, 534 tiles, score=0.830
0x073D00  # 16882 bytes, 527 tiles, score=0.829
0x0C3800  # 10272 bytes, 321 tiles, score=0.828
0x0CBC00  # 10208 bytes, 319 tiles, score=0.828
0x0BF300  # 16760 bytes, 523 tiles, score=0.828
0x073A00  # 20022 bytes, 625 tiles, score=0.828
0x0E3800  # 16648 bytes, 520 tiles, score=0.827
0x0E3800  # 16648 bytes, 520 tiles, score=0.827
0x07F400  # 16643 bytes, 520 tiles, score=0.827
0x0C0200  # 36389 bytes, 1137 tiles, score=0.825
0x0C1700  # 32958 bytes, 1029 tiles, score=0.825
0x0C4700  # 64774 bytes, 2024 tiles, score=0.825
0x0C4800  # 64388 bytes, 2012 tiles, score=0.825
0x0C4B00  # 51438 bytes, 1607 tiles, score=0.825
0x0C9000  # 59786 bytes, 1868 tiles, score=0.825
